"","V1","V2"
"161",104.966741007896,133.896988673025
"162",111.645001906359,136.867370212087
"163",111.339168491505,135.165267220664
"164",111.03333507665,133.723850932889
"165",110.400436649835,131.866148129161
"166",109.767538223019,130.341838747309
"167",110.51025551503,129.298813884775
"168",111.252972807041,128.593471811447
"169",113.093009096774,128.476952669431
"170",114.933045386507,128.729985962341
"171",116.1422302175,129.560163390659
"172",117.351415048494,130.604852923448
"173",116.558208528374,127.048481951262
"174",115.765002008255,123.860386958722
"175",119.616560055097,125.063262190895
"176",123.468118101939,126.750936248684
"177",79.2792765511011,128.218859274281
"178",79.3490954923349,127.044779872301
"179",79.4189144335687,126.107716495269
"180",77.7515592834467,122.507266381821
"181",76.0842041333246,119.150619362796
"182",73.8514866658716,115.017920826158
"183",71.6187691984185,110.987921191647
